"","Ensembl.Gene.ID","GeneSymbol","Initially.Assigned.Module.Color","consensus.kMEblack","consensus.kMEblue","consensus.kMEbrown","consensus.kMEcyan","consensus.kMEgreen","consensus.kMEgreenyellow","consensus.kMEmagenta","consensus.kMEmidnightblue","consensus.kMEpink","consensus.kMEpurple","consensus.kMEred","consensus.kMEsalmon","consensus.kMEtan","consensus.kMEturquoise","consensus.kMEyellow"
"ENSG00000110075","ENSG00000110075","PPP6R3","blue",-0.206312542928638,0.587096460946211,0.111482314378217,0.253950525780501,0,-0.00530973143337943,0.498143691351327,0,-0.382887667503426,0,-0.498621831617624,0,0.117352360315152,0,0
"ENSG00000110076","ENSG00000110076","NRXN2","grey",0.106170164476475,0,0,0,0,-0.261602860700635,0,0,0.376783562419651,-0.197305868039077,0,-0.228617227578606,0.182073685305655,-0.444158939765746,0
"ENSG00000110077","ENSG00000110077","MS4A6A","greenyellow",-0.104031564800547,0,-0.0524482083849951,0.250209203998899,0,0.640389438823425,0,-0.254648499240482,-0.135070593670763,0.382045002736111,-0.15341458043019,0.52070175210259,-0.0709483075558593,0.0956858850541793,0.113604759636463
"ENSG00000110079","ENSG00000110079","MS4A4A","greenyellow",-0.0989850960292694,0,-0.030583085385961,0.146231341900874,0,0.516080187080852,0,-0.11189737851483,-0.0646493686315675,0.220496750038557,-0.0469301609914691,0.367804111756736,0,0,0.0974257293830058
"ENSG00000110080","ENSG00000110080","ST3GAL4","turquoise",-0.224167027488092,0,0,0,0.108629589836673,0,0,-0.11489584156737,0,0,0,0.00292742999161152,0.00582964620117329,0.352557601973978,0.0690393803367165
"ENSG00000110090","ENSG00000110090","CPT1A","purple",-0.352846045468443,0,-0.311727990770521,0.287938484552148,0.212702838416281,0.427658330712255,0,-0.529136262631676,0,0.810481728842907,-0.116053302333314,0.63246659530562,0,0.0810838789173177,0.393778030663573
"ENSG00000110092","ENSG00000110092","CCND1","grey",-0.15497276350466,0,-0.245991415182098,0.00915872716134455,0.18941707179576,0.424034510308229,0,-0.335767308442516,0,0.318554087541127,0,0.406608757111408,0,0,0.303689478638608
"ENSG00000110104","ENSG00000110104","CCDC86","yellow",-0.0394676838703899,0,-0.0681291130099331,0,0.0581864764575928,0.0744785781248011,0.111449127685839,-0.121307886188916,0,0,0,0.0976862922736766,0.127586641563433,0.127711818770816,0.146347159317022
"ENSG00000110107","ENSG00000110107","PRPF19","pink",0.721517741597182,-0.32369160224986,0,-0.244899347563831,0.00473308316847663,-0.33922472179353,0,0.325487083228865,0.610041951184112,-0.45773000156273,0.307827682714366,-0.50447845064971,0.0342982286318637,-0.138139084318131,-0.230099430739085
"ENSG00000110108","ENSG00000110108","TMEM109","grey",0,0.156543663735182,0,0.354130915407304,0,0.00557476162200515,0.369812944590252,0,0,0.00462273885978209,-0.302851781685977,0.0135561768906206,0.201879651596045,0.0786767675032923,0
"ENSG00000110148","ENSG00000110148","CCKBR","black",0.819029298666191,-0.589886257864915,0,-0.613161061270683,0,-0.240787411243898,-0.397298459384937,0.383183445763575,0.655519918165435,-0.386368391268164,0.728506918410985,-0.531567838613428,0,-0.123750306861213,-0.336047984177861
"ENSG00000110169","ENSG00000110169","HPX","grey",0,0,0,0,0,-0.142644709053686,0.000548609719029494,0,0,-0.191897061141816,0,-0.217835152803361,0,-0.173707436146636,0
